mdng,fr,mdng-remain,fr-remain
Patə vaŋno (boono) (1) syel masyin fanŋwəə zah Mundaŋ,1ère lettre d’alphabet moundang," A, cuu ɓə ɓo camcam pəlli A cuu təŋ mor bə, ɓə fan ma ga joŋ pelle, cok fanne A, mo tai ne ɓə ma nyeeki ah ɓe, a swaa ɓə ahe", 
a,C’est," A , mo kah təɗii ɓe, a cuu cok mai dəɓ, wala fan ah mo gŋ: A  yaŋ, cokki, səŋ, zahbii, kah waare, jol ahe  A  mo kah ɓə ma cuu kpak dəɓɓi (fanne) ɓe, a swaa ɓə ahe: A  pəfai, pəlaŋne, 
pəyəkki,  pəcoo A cuu fan ma paa ta: pənyeere,  pəluuri  parərəə A cuu fan ma ’man ahe: 
gətərik, mgbaŋtaŋ A  cuu fan ah pəlli,  hai, haihai, badɗəɗə,  vənyenyee A cuu fan mai mo ka pəlli ya, wala mo ka pəswah ya: ɓəri ɓəri, jokoko,njwəri njwəri, garərə A  mo kah təɗii dəfuu (fan) ɓe, a mgbaaki ne ɗii ah a ciŋ fan vaŋno: ako, ame, ana, ara, aru, awe Me ge ne suu ɓe, wala ame ge ne suu ɓe A, mo kah ɓə marai laŋ a ur fii ɓyaŋ ki ne kyaŋ ɓə faa ahe: ame? azu (ozu) ye ne? amo (moo) ne? aru ne? d A mo kah ɓə joŋ fan ɓe, a swaa ɓə ahe:  uu,  ɗuu, kalle,laŋ dəɓɓi A cuu ɓə ma joŋ ga pelle ta:ge ba, ge no, sosoo, cak ɓə ahe, leere", Marque la qualite 
"Ka, a’a",Non," Cuu fofoo, wala ɓə mai dəɓ mo tə ya A’a ber yo A’a ge ya A’a me tə ya Ɓə faa ɓo mo a’a ɓe, mo yea a’a ceecee Jeertə ahe: oho", 
"Joŋ dəɓ ne doole faa ɓə, kee ɓə","Chercher à dérouter qqn, amener qqn à dire la vérité", Ge aara ɓə zah ah ka gbəko, 
1 Jin ɓə faa zah dəɓ ki,"Interpélation, il a dit que"," Faara aaɓe (aane, aaɓe sye) geko ɓo Aaɓe (aane, aaɓe sye) ber o Aaɓe gak təŋ mor fii ta: aaɓe (aane) ɗii? Aaɓe (aaɓe sye, aane) mo geko daŋ ɗao ",Comment 
Faa,Racine  d’herbe mangeable," A ciŋ lalle, za gak pəpəə ta A lee mor sər gərləŋ gərləŋ Aare (eere) jur (dər) zwah ɓo Aa (ee) pələrri, a pəjeere Mo soŋ aa (ee) taa ɓe ne? Ɓə mo ’nyah suu dəɓ ɓe, pah ah a faa: Me laa pə’nyah na aare (eere)", 
Mgbaini,"Creuser, dégager, enlever"," Aare (əəre), cuu fan ma joŋ ɓal pəpaare A cuu fan ma joŋ pətaa ta Me əə (aa) sər ah ge lal ɓe, me aa (əə)sər ah zaləŋ pəpaare Loo aa (əə) sor ɓo lak gwa Mawin nyee tə aa ɓər ŋhəə ga lalle Jeertə ah: njək, njək ge gŋ", 
"’Wari ’wari, lom ki ya, ka pəsah ya","Sans raison, confus"," Dəɓ ah faa ɓə aaro aaro Ɓə faa zah ah aaro aaro dəɓ ka tan mor ah ya 
", 
"Gwari, bai gaɓɓe","Vite, sans peine"," Me ɓaŋ ko ge səŋ aɓ Ur ne pel aɓ kalle Dəɓ ah faa ɓə aɓ aɓ, ’yah faa a faa ɓə gwari gwari, dəɓ ka laa pəsah ya", 
॥ii marvəə (məvəə),Surprise," Cuu ɓə ma zoo cee dəɓɓi, ɓə bai nyah suu dəɓɓi, laa fan syenne Ɓə mai mo joŋ ɗii nai ne aei, mo zyak ɓe! We ee ɗə kai dəɓ ah tə la bone pəlli ", 
"Afee? afeene? afee ye ne? Cuu ɓə mai dəɓ mo kyeɓ ka tan ryakryak ahe, wala cuu dəɓ ah ɓaŋ kpah ɓo",Qu’est ce qu’il y a? Quoi? ," Afee, mo faa ɗii? Me laa ɓə moo ɗao",
"’Yah tan cok ul dəɓɓi, fanne","Etat, position"," Zyii fii ye ta Yeɓ tə gano ne, wala yeɓ tə syee no ne? Paswa ga ɗəne? Awo, aga jam", 
"2 Mo ee ako, ɓtv yo","Il, elle, lui"," 
", 
"Yawah, pəsahe, yoo, daŋ gur ɓe","Exclamation de joie, ah ah, acquiessement", Ahaa me tə fan mai mee joŋ gur ɓe Ahaa ɓə mai joŋ uu pəsah ɓe, 
A cuu fan dəɓɓi,"Son, sa, ses", Pazəə tə ga yaŋ ahe Mo ɓaŋ mə ah ka Dəɓ ah ge ya ba Pah ah kəka Pah ah no Ge nə mə ah ya ba , 
Zyim ah pə ’ahe,"Large, largeur", Mo kyeɓ təsal ma ’ahe ’Ah laŋ ɗii ye ta ’Ah ah i jol ɓo kəɗəne? ’Ah ah zahki ne wah ahe , 
Təə yo,Insulte: ventre creux," Kaɓkaɓ (keɓkeɓ, 
ŋgəlap, gyoriŋ) Fan mai mo ka pəsah ya Ɓər tə ’aklam (tə ŋgəlap, tə gyoriŋ, tə keɓkeɓ, (kaɓkaɓ) Ɓər ah ka zahki pəsah ya, a ŋgəlak (golok) na ɓər goo", 
"Ako (agonne), cuu dəɓ vaŋno","Il, elle, lui"," Dəɓ gak faa: Ako (agonne), wala ko Ako no, ako ne syemme Ako ga ge no Mo ee a/c, ɓə ah cuu ɓo gŋ", 
Sor sər zan ki,Ble’," Za sər mundaŋ ka pəəra sor ah ya Sum alkamari no sər man pəlli zəzəəko, a gin sər za ki ginni ", 
"Gbanzah ka joŋ fanne, tai zah təki","Alliance, confiance"," Masəŋ ka yaŋ gbanzah mai mo gbə ɓo ne za Israel ya 
", 
"Joŋ ga lal pə’manne, pə ’ahe, gbər ge lalle, ’wal ge lalle",Elargir," Mo al (əraa) zah ah ge lalle Mo əraa (al) zah lak bii ah pə ’ahe Jeertə ahe: Zuŋ, tai ge təki", 
